Baku,Yerevan,bus,29,68,,,,,,,
Bamako,Addis Ababa,plane,7,797,,,,,,,
Bamako,Dakar,train,9,972.4,,,,,,,
Bamako,Ouagadougou,plane,1.33,322,,,,,,,
Bandar Seri Begawan,Manila,plane,2,132,,,,,,,
Bangkok,Beijing,plane,20,327,,,,,,,
Bangkok,Kuala Lumpur,plane,2,85,,,,,,,
Bangkok,Phnom Penh,train,17,50,,,,,,,
Bangkok,Seoul,plane,16,650,,,,,,,
Bangkok,Singapore,train,48,65,,,,,,,
Bangkok,Thimphu,plane,3,400,,,,,,,
Bangkok,Vientiane,train,13,78.34,,,,,,,
Bangui,Brazzaville,plane,19.5,752,,,,,,,
Bangui,Canberra (Use Sydney),plane,60,4170,,,,,,,
Bangui,Khartoum,plane,16,1205,,,,,,,
Bangui,Lima,plane,53,2952,,,,,,,
Bangui,London,plane,33,758,,,,,,,
Bangui,N'Djamena,plane,29.5,1775,,,,,,,
Bangui,Pretoria (Use Johannesburg),plane,46,2280,,,,,,,
Bangui,Singapore,plane,47,3327,,,,,,,
Bangui,Washington DC,plane,52,1458,,,,,,,
Bangui,Yaounde,plane,12,1608,,,,,,,
Banjul,Dakar,plane,0.75,310,,,,,,,
Banjul,Freetown,plane,1.5,274,,,,,,,
Beijing,Astana,train,40,300,,,,,,,
Beijing,Astana,plane,9,420,,,,,,,
Beijing,Bangkok,plane,20,327,,,,,,,
Beijing,Bishkek,plane,10,400,,,,,,,
Beijing,Canberra (Use Sydney),plane,28,816,,,,,,,
Beijing,Dushanbe,plane,14,680,,,,,,,
Beijing,Hanoi,train,48,100,,,,,,,
Beijing,Islamabad,plane,31,1634,,,,,,,
Beijing,Kathmandu,plane,15,480,,,,,,,
Beijing,Kathmandu,train,72,1040,,,,,,,
Beijing,Lima,plane,43,1637,,,,,,,
Beijing,London,plane,14,771,,,,,,,
Beijing,Manila,plane,22,345,,,,,,,
Beijing,New Delhi,plane,21,655,,,,,,,
Beijing,P'yongyang,train,22,100,,,,,,,
Beijing,Phnom Penh,plane,17,370,,,,,,,
Beijing,Pretoria (Use Johannesburg),plane,25,800,,,,,,,
Beijing,Seoul,boat,1,135,,,,,,,
Beijing,Singapore,plane,10,306,,,,,,,
Beijing,Tashkent,plane,15.67,1727,,,,,,,
Beijing,Tokyo,plane,8,458,,,,,,,
Beijing,Vientiane,plane,7,275,,,,,,,
Beijing,Washington DC,plane,20,960,,,,,,,
Beijing,Yangon,plane,20,350,,,,,,,
Beirut,Amman,plane,2,156,,,,,,,
Belgrade,Athens,bus,16.5,70.5,,,,,,,
Belgrade,Bucuresti,train,18.53,119,,,,,,,
Belgrade,Budapest,train,8.33,86,,,,,,,
Belgrade,Canberra (Use Sydney),plane,36.25,1735,,,,,,,
Belgrade,Lima,plane,31.66,1729,,,,,,,
Belgrade,London,plane,2.92,181,,,,,,,
Belgrade,Pretoria (Use Johannesburg),plane,18.5,1072,,,,,,,
Belgrade,Sarajevo,train,9,26,,,,,,,
Belgrade,Singapore,plane,25.08,1152,,,,,,,
Belgrade,Skopje,train,59.75,225,,,,,,,
Belgrade,Skopje,train,82.7,225,,,,,,,
Belgrade,Sofia,train,9.2,119,,,,,,,
Belgrade,Tirane,bus,15,43.24,,,,,,,
Belgrade,Vienna,train,58.31,225,,,,,,,
Belgrade,Washington DC,plane,12.92,562,,,,,,,
Belgrade,Zagreb,train,6.61,70.45,,,,,,,
Belmopan,Canberra (Use Sydney),plane,51.92,3661,,,,,,,
